Reinitialization requiredthe ProjectPosition_origin: 0.00693161 -0.800773 1.75048
WARNING: tranlsation vectors are empty!
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
the ProjectPosition_origin: 0.235872 -0.340024 1.71992
the ProjectPosition_correc: 0.235872 -0.340024 1.71992
 
Reinitialization required
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
the ProjectPosition_origin: -0.703511 -0.310808 1.64708
the ProjectPosition_correc: 0.296489 -0.310808 1.64708
 
Reinitialization requiredReinitialization required
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
